City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Kirkland,Condo/Co-op,7/1/14,7/31/14,240
Snoqualmie,Condo/Co-op,8/1/14,8/31/14,262
Olympia,Condo/Co-op,9/1/14,9/30/14,239
Bothell,Condo/Co-op,9/1/14,9/30/14,180
Bothell,Condo/Co-op,11/1/14,11/30/14,171
Seattle,Condo/Co-op,12/1/14,12/31/14,292
Olympia,Condo/Co-op,1/1/15,1/31/15,184
Seattle,Condo/Co-op,1/1/15,1/31/15,318
Bothell,Condo/Co-op,2/1/15,2/28/15,298
Kenmore,Condo/Co-op,3/1/15,3/31/15,258
Snoqualmie,Condo/Co-op,4/1/15,4/30/15,264
Seattle,Condo/Co-op,6/1/15,6/30/15,341
Olympia,Condo/Co-op,11/1/15,11/30/15,132
Olympia,Condo/Co-op,12/1/15,12/31/15,240
Issaquah,Condo/Co-op,1/1/16,1/31/16,253
Bellevue,Condo/Co-op,3/1/16,3/31/16,330
Sammamish,Condo/Co-op,8/1/16,8/31/16,293
Sammamish,Condo/Co-op,9/1/16,9/30/16,317
Bellevue,Condo/Co-op,12/1/16,12/31/16,415
Seattle,Condo/Co-op,12/1/16,12/31/16,410
Issaquah,Condo/Co-op,2/1/17,2/28/17,330
Tacoma,Condo/Co-op,2/1/17,2/28/17,222
Sammamish,Condo/Co-op,4/1/17,4/30/17,370
Redmond,Condo/Co-op,5/1/17,5/31/17,370
Tacoma,Condo/Co-op,6/1/17,6/30/17,243
Sammamish,Condo/Co-op,9/1/17,9/30/17,385
Kenmore,Condo/Co-op,9/1/17,9/30/17,320
Bellevue,Condo/Co-op,9/1/17,9/30/17,685
Snoqualmie,Condo/Co-op,10/1/17,10/31/17,370
Bellevue,Condo/Co-op,1/1/18,1/31/18,478
Olympia,Condo/Co-op,3/1/18,3/31/18,285
Kent,Condo/Co-op,4/1/18,4/30/18,245
Kent,Condo/Co-op,6/1/18,6/30/18,216
Tacoma,Condo/Co-op,8/1/18,8/31/18,315
Tacoma,Condo/Co-op,11/1/18,11/30/18,365
Olympia,Condo/Co-op,12/1/18,12/31/18,460
Bothell,Condo/Co-op,6/1/19,6/30/19,400
Bellevue,Condo/Co-op,6/1/19,6/30/19,448
Bellevue,Condo/Co-op,7/1/19,7/31/19,490
Olympia,Condo/Co-op,8/1/19,8/31/19,195
Bellevue,Condo/Co-op,8/1/19,8/31/19,415
Mercer Island,Condo/Co-op,9/1/19,9/30/19,437
Seattle,Multi-Family (2-4 Unit),5/1/10,5/31/10,426
Bothell,Multi-Family (2-4 Unit),8/1/10,8/31/10,293
Seattle,Multi-Family (2-4 Unit),9/1/10,9/30/10,450
Tacoma,Multi-Family (2-4 Unit),9/1/11,9/30/11,110
Seattle,Multi-Family (2-4 Unit),5/1/13,5/31/13,480
